student_id,timestamp,word_count,reply_count
S013,2025-03-03 05:00:00,185,2
S013,2025-04-04 00:00:00,192,4
S013,2025-01-13 03:00:00,154,5
S013,2025-03-15 06:00:00,151,6
S013,2025-03-11 23:00:00,103,9
S014,2025-03-25 11:00:00,180,7
S014,2025-01-01 04:00:00,82,5
S014,2025-03-11 20:00:00,115,2
S014,2025-03-20 04:00:00,79,7
S014,2025-02-15 17:00:00,195,5
S014,2025-03-30 23:00:00,129,7
S014,2025-01-29 06:00:00,123,5
S015,2025-01-02 07:00:00,94,0
S015,2025-02-23 05:00:00,195,3
S015,2025-01-12 10:00:00,50,9
S015,2025-03-08 12:00:00,110,2
S016,2025-02-04 19:00:00,168,2
S016,2025-02-23 10:00:00,177,4
S016,2025-02-04 21:00:00,185,7
S017,2025-02-18 03:00:00,179,6
S017,2025-03-20 10:00:00,118,2
S017,2025-03-21 04:00:00,104,9
S017,2025-03-24 03:00:00,80,2
S018,2025-03-07 09:00:00,80,8
S018,2025-01-20 15:00:00,106,7
S018,2025-01-11 13:00:00,47,4
S018,2025-03-04 04:00:00,70,4
S018,2025-01-12 17:00:00,151,5
S018,2025-02-11 19:00:00,185,8
S018,2025-01-14 10:00:00,51,1
S018,2025-01-27 22:00:00,139,6
S018,2025-03-16 20:00:00,191,4
S018,2025-03-28 08:00:00,78,8
S018,2025-02-23 09:00:00,169,2
S018,2025-03-06 06:00:00,23,0
S018,2025-01-15 07:00:00,169,5
S019,2025-02-16 16:00:00,112,1
S019,2025-01-20 17:00:00,131,0
S019,2025-02-28 10:00:00,31,7
S019,2025-01-20 05:00:00,150,7
S020,2025-04-04 12:00:00,85,4
S020,2025-02-18 05:00:00,85,3
S020,2025-02-23 10:00:00,127,7
S020,2025-02-12 21:00:00,167,7
S020,2025-01-29 07:00:00,177,0
S020,2025-03-25 19:00:00,163,6
S020,2025-03-21 12:00:00,195,4
S020,2025-03-28 23:00:00,92,2
S020,2025-02-20 19:00:00,56,9
S020,2025-03-22 14:00:00,138,8
S020,2025-01-08 14:00:00,114,4
S020,2025-04-04 13:00:00,39,6
S021,2025-01-12 16:00:00,36,9
S021,2025-04-04 18:00:00,30,1
S021,2025-02-19 06:00:00,127,9
S021,2025-02-03 19:00:00,69,5
S021,2025-03-29 09:00:00,179,3
S021,2025-01-15 04:00:00,103,2
S021,2025-02-06 07:00:00,91,7
S022,2025-02-25 22:00:00,123,7
S022,2025-04-03 23:00:00,79,9
S022,2025-02-08 16:00:00,183,3
S022,2025-01-26 21:00:00,23,1
S022,2025-03-05 05:00:00,146,7
S022,2025-03-28 21:00:00,149,6
S022,2025-01-11 13:00:00,115,4
S022,2025-03-05 05:00:00,29,7
S022,2025-01-24 02:00:00,191,6
S022,2025-01-17 00:00:00,76,6
S022,2025-02-22 23:00:00,28,5
S022,2025-01-13 15:00:00,37,2
S022,2025-03-17 07:00:00,164,9
S022,2025-01-15 14:00:00,82,6
S023,2025-01-13 16:00:00,51,8
S023,2025-02-09 19:00:00,101,8
S023,2025-03-04 11:00:00,191,5
S023,2025-03-24 06:00:00,67,1
S023,2025-01-16 22:00:00,58,3
S023,2025-02-28 07:00:00,160,0
S023,2025-01-06 18:00:00,96,8
S023,2025-03-01 13:00:00,114,5
S023,2025-01-04 06:00:00,91,8
S024,2025-03-04 05:00:00,139,4
S024,2025-04-04 02:00:00,175,2
S024,2025-04-08 15:00:00,169,5
S024,2025-03-13 22:00:00,91,8
S024,2025-01-06 13:00:00,51,2
S024,2025-01-10 02:00:00,95,0
S024,2025-02-28 04:00:00,71,8
S024,2025-02-10 20:00:00,103,6
S024,2025-01-22 03:00:00,32,9
S024,2025-02-18 19:00:00,100,5
S024,2025-02-05 00:00:00,148,0
S024,2025-01-24 07:00:00,128,6
S024,2025-02-15 07:00:00,27,9
S025,2025-01-13 06:00:00,175,8
S025,2025-03-02 15:00:00,138,1
S025,2025-03-23 16:00:00,49,6
S025,2025-01-13 17:00:00,113,1
S025,2025-01-13 10:00:00,113,4
S025,2025-02-24 16:00:00,187,2
S025,2025-01-15 08:00:00,199,9
S025,2025-04-05 20:00:00,147,3
S025,2025-01-30 00:00:00,76,3
S025,2025-01-09 21:00:00,130,0
S025,2025-02-13 02:00:00,94,1
S025,2025-03-21 08:00:00,51,0
S025,2025-03-19 07:00:00,91,0
S026,2025-02-11 18:00:00,158,6
S026,2025-02-12 16:00:00,179,9
S026,2025-04-03 20:00:00,104,7
S026,2025-01-23 23:00:00,153,5
S026,2025-02-19 05:00:00,184,2
S026,2025-02-23 07:00:00,196,2
S026,2025-01-11 23:00:00,68,4
S026,2025-03-07 07:00:00,102,6
S026,2025-01-28 16:00:00,25,2
S026,2025-02-25 05:00:00,47,1
S026,2025-02-07 22:00:00,56,2
S026,2025-03-09 21:00:00,196,3
S026,2025-02-27 12:00:00,71,9
S027,2025-04-10 22:00:00,102,9
S027,2025-04-09 13:00:00,123,7
S027,2025-01-28 00:00:00,189,1
S028,2025-04-07 11:00:00,133,3
S028,2025-02-07 11:00:00,174,8
S028,2025-01-16 23:00:00,95,7
S028,2025-01-14 12:00:00,44,1
S028,2025-03-08 23:00:00,137,9
S028,2025-03-14 19:00:00,123,9
S028,2025-03-24 02:00:00,171,4
S028,2025-03-08 15:00:00,132,2
S028,2025-03-17 08:00:00,63,9
S028,2025-02-16 01:00:00,114,1
S029,2025-01-12 22:00:00,151,6
S029,2025-02-17 22:00:00,131,0
S029,2025-03-30 01:00:00,177,2
S029,2025-01-21 19:00:00,196,3
S029,2025-03-27 20:00:00,135,5
S029,2025-01-15 13:00:00,199,8
S030,2025-03-29 04:00:00,89,0
S030,2025-02-16 22:00:00,110,1
S030,2025-01-21 02:00:00,123,6
S030,2025-03-05 02:00:00,59,1
S030,2025-01-10 19:00:00,80,4
S030,2025-02-22 22:00:00,56,7
S030,2025-02-28 12:00:00,121,4
S031,2025-02-28 15:00:00,21,0
S031,2025-03-01 18:00:00,49,6
S031,2025-03-31 12:00:00,142,7
S031,2025-03-04 21:00:00,141,8
S031,2025-04-05 20:00:00,181,6
S031,2025-01-31 19:00:00,108,0
S031,2025-02-24 21:00:00,59,4
S031,2025-01-01 00:00:00,189,4
S031,2025-03-20 16:00:00,41,5
S031,2025-04-09 12:00:00,27,0
S031,2025-01-17 21:00:00,109,0
S032,2025-03-22 15:00:00,97,5
S032,2025-02-04 13:00:00,33,7
S032,2025-03-02 14:00:00,73,0
S032,2025-01-31 20:00:00,182,5
S032,2025-03-10 21:00:00,77,0
S032,2025-01-23 01:00:00,45,4
S032,2025-03-31 19:00:00,153,5
S032,2025-02-28 17:00:00,165,3
S033,2025-01-14 13:00:00,32,6
S033,2025-02-13 22:00:00,162,2
S033,2025-03-04 10:00:00,182,0
S034,2025-01-19 19:00:00,119,2
S034,2025-02-01 15:00:00,63,7
S034,2025-01-24 16:00:00,90,1
S034,2025-03-06 02:00:00,51,3
S034,2025-01-13 05:00:00,77,4
S035,2025-02-09 15:00:00,163,3
S035,2025-02-14 12:00:00,50,2
S035,2025-01-08 23:00:00,34,8
S035,2025-02-14 01:00:00,27,6
S035,2025-02-26 15:00:00,49,9
S035,2025-01-18 17:00:00,136,6
S036,2025-04-08 10:00:00,145,6
S036,2025-03-10 05:00:00,141,3
S036,2025-04-03 22:00:00,25,9
S036,2025-01-18 14:00:00,187,9
S036,2025-04-06 08:00:00,25,7
S036,2025-03-04 02:00:00,125,0
S036,2025-04-06 03:00:00,100,8
S036,2025-03-24 04:00:00,179,5
S036,2025-03-11 02:00:00,41,0
S036,2025-03-25 21:00:00,131,6
S036,2025-01-11 12:00:00,22,8
S036,2025-03-01 11:00:00,106,0
S036,2025-01-18 16:00:00,92,6
S036,2025-03-15 18:00:00,144,4
S037,2025-03-28 01:00:00,131,8
S037,2025-03-15 13:00:00,77,6
S037,2025-02-10 13:00:00,118,3
S037,2025-02-17 01:00:00,29,2
S037,2025-03-16 10:00:00,104,4
S037,2025-03-27 12:00:00,154,6
S038,2025-03-05 01:00:00,95,8
S038,2025-02-11 17:00:00,73,0
S038,2025-01-18 02:00:00,109,5
S039,2025-02-16 14:00:00,67,9
S039,2025-03-17 12:00:00,151,6
S039,2025-01-02 14:00:00,91,6
S039,2025-03-04 14:00:00,138,7
S039,2025-01-12 12:00:00,62,0
S039,2025-03-04 16:00:00,139,3
S039,2025-03-26 07:00:00,88,9
S039,2025-03-21 03:00:00,47,5
S039,2025-04-03 14:00:00,95,4
S039,2025-01-30 22:00:00,163,9
S039,2025-03-12 12:00:00,199,4
S040,2025-01-15 03:00:00,194,3
S040,2025-01-19 12:00:00,125,4
S040,2025-03-05 04:00:00,46,6
S040,2025-01-29 19:00:00,44,5
S040,2025-03-04 03:00:00,149,5
S041,2025-03-10 21:00:00,119,2
S041,2025-03-28 01:00:00,160,5
S041,2025-04-03 03:00:00,41,3
S041,2025-02-21 14:00:00,183,8
S042,2025-01-19 05:00:00,89,3
S042,2025-03-20 19:00:00,28,3
S042,2025-02-19 17:00:00,24,3
S042,2025-03-28 10:00:00,184,5
S042,2025-02-27 03:00:00,63,1
S042,2025-03-18 09:00:00,156,9
S042,2025-04-05 06:00:00,87,2
S042,2025-04-04 02:00:00,104,2
S042,2025-04-05 20:00:00,51,1
S043,2025-01-10 01:00:00,79,7
S043,2025-01-17 15:00:00,35,6
S043,2025-01-31 10:00:00,107,0
S043,2025-01-11 22:00:00,104,3
S043,2025-03-12 14:00:00,69,0
S043,2025-04-07 10:00:00,111,0
S043,2025-02-16 20:00:00,125,6
S043,2025-01-02 09:00:00,43,3
S043,2025-01-19 10:00:00,59,1
S043,2025-02-12 10:00:00,31,2
S043,2025-01-27 16:00:00,68,1
S043,2025-03-01 21:00:00,49,3
S043,2025-02-07 09:00:00,61,7
S044,2025-03-18 23:00:00,124,5
S044,2025-02-11 14:00:00,184,5
S044,2025-03-21 12:00:00,41,8
S045,2025-01-27 08:00:00,99,1
S045,2025-02-01 01:00:00,31,7
S045,2025-03-14 11:00:00,109,8
S045,2025-01-10 01:00:00,195,3
S045,2025-02-08 01:00:00,84,2
S045,2025-02-05 23:00:00,174,1
S046,2025-03-19 01:00:00,48,4
S046,2025-01-28 19:00:00,144,6
S046,2025-01-24 20:00:00,157,4
S046,2025-01-18 23:00:00,161,1
S046,2025-02-27 11:00:00,169,7
S046,2025-03-11 03:00:00,192,3
S046,2025-01-22 13:00:00,146,3
S046,2025-02-25 00:00:00,192,3
S046,2025-01-20 17:00:00,57,2
S046,2025-01-23 12:00:00,142,4
S046,2025-03-09 20:00:00,123,2
S047,2025-04-05 13:00:00,159,0
S047,2025-03-28 13:00:00,80,6
S047,2025-02-15 14:00:00,63,0
S047,2025-02-10 21:00:00,63,1
S047,2025-01-05 12:00:00,46,3
S047,2025-03-28 07:00:00,142,0
S047,2025-01-31 02:00:00,36,2
S047,2025-02-23 22:00:00,51,7
S047,2025-01-13 19:00:00,54,4
S048,2025-01-29 05:00:00,172,5
S048,2025-03-07 12:00:00,88,8
S048,2025-03-13 22:00:00,148,3
S048,2025-02-13 22:00:00,115,6
S048,2025-02-23 23:00:00,176,5
S048,2025-03-31 15:00:00,118,3
S048,2025-02-15 02:00:00,146,9
S048,2025-02-22 14:00:00,148,0
S048,2025-03-07 19:00:00,89,7
S048,2025-01-29 15:00:00,198,0
S048,2025-01-03 02:00:00,127,3
S049,2025-03-14 06:00:00,23,2
S049,2025-01-19 05:00:00,192,8
S049,2025-03-27 19:00:00,130,4
S049,2025-03-27 10:00:00,61,9
S049,2025-01-26 22:00:00,62,8
S049,2025-01-20 23:00:00,58,2
S050,2025-03-20 22:00:00,30,9
S050,2025-02-11 10:00:00,57,1
S050,2025-02-12 18:00:00,153,3
S050,2025-02-11 00:00:00,118,7
S050,2025-03-13 19:00:00,137,7
S050,2025-01-07 10:00:00,122,3
S050,2025-01-25 11:00:00,173,5
S050,2025-01-12 10:00:00,70,4
S050,2025-02-06 13:00:00,72,7
S050,2025-03-21 12:00:00,108,5
S050,2025-02-23 19:00:00,137,3
S050,2025-03-16 16:00:00,26,9
S050,2025-01-11 21:00:00,192,6
S050,2025-01-28 10:00:00,130,8
